key,value
Home,主页
Organizational Structure,组织结构
CCANB,CCANB
Membership,会员
Annual General Meeting,年会
Executive Board,委员会
Ad Hoc Committees,特设委员会
Chinese School,中文学校
ESC,ESC
Schedule,时刻表
Classes/Courses/Fees,课程与收费
Registration,注册
Youth Group,青少年组织
Art Group,艺术团体
Choir,合唱团
Dance Teams,舞蹈社
News,新闻
Local News,本地新闻
National News,加国要闻
World News,国际新闻
Events,活动
Announcements,活动公告
Schedules,日程安排
Past Events,活动回顾
Programs,项目
VIP (Volunteer Involvement Program,志愿者项目
Help,互帮互助
Lectures on Special Topics,专题讲座
100 Q&A for New Comers,新移民问答
Resources,分类信息
Settlement Information,安居
Finance,金融
Insurance,保险
Health,卫生保健
Education,教育
Useful links,实用链接
Other Information,其他信息
Forum,论坛
Contact Us,联系我们
